section,name,variant,value,unit,ops,bytes,median_ticks,ns_per_op,gib_per_s,cv_percent,note
core_scaling,thr_add8,user_interactive_2_threads,,ns,12800000,0,308260,0.024082812,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,user_interactive_4_threads,,ns,25600000,0,299926,0.011715859,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,user_interactive_8_threads,,ns,51200000,0,314425,0.006141113,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,user_interactive_10_threads,,ns,64000000,0,323551,0.005055484,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,user_interactive_14_threads,,ns,89600000,0,607519,0.006780346,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,background_1_threads,,ns,6400000,0,350002,0.054687813,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,background_2_threads,,ns,12800000,0,518424,0.040501875,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,background_4_threads,,ns,25600000,0,707738,0.027646016,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,background_8_threads,,ns,51200000,0,1203769,0.023511113,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,background_10_threads,,ns,64000000,0,1529587,0.023899797,0.000000,0.000000,aggregate wall-time throughput
core_scaling,thr_add8,background_14_threads,,ns,89600000,0,1877298,0.020951987,0.000000,0.000000,aggregate wall-time throughput
